East;North;RSS;Time;Accelerometer X ;Accelerometer Y ;Accelerometer Z ;Sunload;Lane;Receiver  Angle;Distance;Turbulence;Transmit Power Ref;Path Loss
2904.582;4112.5566;-43.18372726;15:09:29.536;0.0078125;0.00390625;0.98828125;0.366210975;3;30;11.00593149;0;4.168313503;47.35204076
2904.582;4112.5562;-32.79576111;15:09:54.537;0.02734375;0.08984375;0.9609375;0.361328162;3;30;11.74270155;1;4.168313503;36.96407461
2904.582;4112.5562;-33.90594101;15:09:55.537;-0.0078125;0.08984375;1.04296875;0.366210975;3;30;11.74270155;1;4.168313503;38.07425451
2904.582;4112.5571;-46.25134277;15:10:44.884;0.0859375;0.015625;1.00390625;0.371093788;3;30;10.08590242;0;4.168313503;50.41965627
2904.582;4112.5571;-45.45421982;15:10:45.884;-0.01953125;0.0390625;1.00390625;0.371093788;3;30;10.08590242;0;4.168313503;49.62253332
2904.582;4112.5586;-44.13361359;15:10:46.884;0.02734375;0.0390625;0.94140625;0.371093788;3;30;7.335783467;0;4.168313503;48.30192709
2904.582;4112.5586;-43.07555008;15:10:47.884;0.0234375;0.046875;0.97265625;0.366210975;3;30;7.335783467;0;4.168313503;47.24386358
2904.582;4112.5591;-36.06539536;15:11:05.884;0.00390625;0.0859375;0.98046875;0.375976601;3;30;6.42477086;1;4.168313503;40.23370886
2904.582;4112.5576;-48.12895584;15:11:58.883;-0.01953125;-0.0234375;0.96875;0.380859414;3;30;9.167202002;0;4.168313503;52.29726934
2904.582;4112.5576;-47.34497452;15:11:59.883;0.06640625;0.015625;1.05078125;0.375976601;3;30;9.167202002;0;4.168313503;51.51328802
2904.582;4112.5635;0.204685092;15:03:41.667;0.01953125;0.0390625;0.98046875;0.371093788;2;30;2.238086493;1;4.168313503;3.963628411
2904.582;4112.5635;0.224318489;15:03:42.667;-0.00390625;0.0546875;0.9765625;0.371093788;2;30;2.238086493;1;4.168313503;3.943995014
2904.5818;4112.5522;-40.62510681;15:08:38.537;-0.00390625;-0.01171875;1.0625;0.366210975;3;30;19.11339518;1;4.168313503;44.79342031
2904.5818;4112.5522;-41.55712891;15:08:39.537;0.02734375;0.0234375;0.984375;0.361328162;3;30;19.11339518;1;4.168313503;45.72544241
2904.5818;4112.5522;-48.80567551;15:09:22.536;0.01953125;0.0234375;0.96875;0.366210975;3;30;19.11339518;0;4.168313503;52.97398901
2904.5818;4112.5522;-48.08505249;15:09:23.536;0.03515625;0.015625;0.9375;0.366210975;3;30;19.11339518;0;4.168313503;52.25336599
2904.5818;4112.5542;-47.63559341;15:09:24.536;0.00390625;0.015625;0.9375;0.366210975;3;30;15.41289461;0;4.168313503;51.80390691
2904.5818;4112.5542;-46.50201797;15:09:25.536;0.03125;0.00390625;0.97265625;0.366210975;3;30;15.41289461;0;4.168313503;50.67033147
2904.5818;4112.5552;-48.31981659;15:10:42.884;0.01953125;0.01171875;0.98828125;0.371093788;3;30;13.56387246;0;4.168313503;52.48813009
2904.5818;4112.5552;-47.41643143;15:10:43.884;-0.01953125;0.046875;0.94140625;0.371093788;3;30;13.56387246;0;4.168313503;51.58474493
2904.5818;4112.5576;-36.0158844;15:11:06.883;-0.00390625;0.125;0.9296875;0.371093788;3;30;9.133212298;1;4.168313503;40.1841979
2904.5818;4112.5576;-36.18960571;15:11:07.883;0.02734375;0.07421875;1.0078125;0.375976601;3;30;9.133212298;1;4.168313503;40.35791921
2904.5818;4112.5557;-50.01029587;15:11:56.884;-0.01953125;0.00390625;1.00390625;0.375976601;3;30;12.63982564;0;4.168313503;54.17860937
2904.5818;4112.5557;-49.19908142;15:11:57.884;-0.01953125;0.0234375;0.96875;0.375976601;3;30;12.63982564;0;4.168313503;53.36739492
2904.5818;4112.5625;0.230973393;15:03:43.667;-0.0078125;0.046875;0.984375;0.371093788;2;30;0.975948576;1;4.168313503;3.93734011
2904.5818;4112.5625;-1.280151248;15:03:44.667;0;0.00390625;0.97265625;0.371093788;2;30;0.975948576;1;4.168313503;5.448464751
2904.5818;4112.5649;-4.652058125;14:57:46.178;0.0078125;0.04296875;0.9921875;0.371093788;2;30;4.55361107;1;4.168313503;8.820371628
2904.5818;4112.5649;-4.655339718;14:57:47.178;-0.00390625;0.04296875;0.9765625;0.371093788;2;30;4.55361107;1;4.168313503;8.823653221
2904.5815;4112.5503;-42.45385742;15:08:40.537;0.03125;0.046875;0.9921875;0.361328162;3;30;22.61651193;1;4.168313503;46.62217092
2904.5815;4112.5503;-43.45712662;15:08:41.537;0.01171875;0.0234375;0.99609375;0.356445349;3;30;22.61651193;1;4.168313503;47.62544012
2904.5815;4112.5508;-49.58662415;15:09:20.537;0.0390625;0.0234375;0.96875;0.361328162;3;30;21.69018133;0;4.168313503;53.75493765
2904.5815;4112.5508;-49.10203934;15:09:21.536;0.0078125;0.0625;1.01953125;0.366210975;3;30;21.69018133;0;4.168313503;53.27035284
2904.5815;4112.5542;-34.62211227;15:09:56.536;0.0546875;0.04296875;1.0234375;0.361328162;3;30;15.3920712;1;4.168313503;38.79042577
2904.5815;4112.5542;-35.90494156;15:09:57.536;-0.01171875;0.01953125;0.94140625;0.361328162;3;30;15.3920712;1;4.168313503;40.07325506
